Description,Given Category,Given Sub-Category,Category,Sub_Category
File Shuttle I and Handi-File,Office Supplies,Storage,,
Wilson Jones Custom Binder Spines & Labels,Office Supplies,Binders,,
NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,Technology,Accessories,,
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art,,
Microsoft Natural Keyboard Elite,Technology,Accessories,,
Xerox 1960,Office Supplies,Paper,,
O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
Holmes Odor Grabber,Office Supplies,Appliances,,
Akro-Mils 12-Gallon Tote,Office Supplies,Storage,,
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,,
Southworth Structures Collection,Office Supplies,Paper,,
"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",Office Supplies,Binders,,
Sony 32GB Class 10 Micro SDHC R40 Memory Card,Technology,Accessories,,
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,Home,Furniture_Appliances
Logitech Media Keyboard K200,Technology,Accessories,,
Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,Electronics,Electronics_misc
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases,Home,Furniture_Appliances
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art,,
"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders,,
Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,,
Nortel Meridian M3904 Professional Digital phone,Technology,Phones,,
Canon PC1080F Personal Copier,Technology,Copiers,,
Wilson Jones Century Plastic Molded Ring Binders,Office Supplies,Binders,,
Tuf-Vin Binders,Office Supplies,Binders,,
2300 Heavy-Duty Transfer File Systems by Perma,Office Supplies,Storage,,
Xerox 1958,Office Supplies,Paper,,
"Acme 10"" Easy Grip Assistive Scissors",Office Supplies,Supplies,,
Super Decoflex Portable Personal File,Office Supplies,Storage,,
"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases,Home,Furniture_Appliances
"Contico 72""H Heavy-Duty Storage System",Office Supplies,Storage,,
Sony 64GB Class 10 Micro SDHC R40 Memory Card,Technology,Accessories,,
Xerox 1974,Office Supplies,Paper,,
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art,,
Staple holder,Office Supplies,Appliances,,
Sony 64GB Class 10 Micro SDHC R40 Memory Card,Technology,Accessories,,
Sharp AL-1530CS Digital Copier,Technology,Copiers,,
"Wirebound Message Book, 4 per Page",Office Supplies,Paper,,
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,Bookcases,Home,Furniture_Appliances
"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,,
Self-Adhesive Removable Labels,Office Supplies,Labels,,
Xerox 1908,Office Supplies,Paper,,
"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
Xerox 191,Office Supplies,Paper,,
"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art,,
"Hon Metal Bookcases, Gray",Furniture,Bookcases,Home,Furniture_Appliances
Xerox 1987,Office Supplies,Paper,,
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art,,
"White Envelopes, White Envelopes with Clear Poly Window",Office Supplies,Envelopes,,
KeyTronic 6101 Series - Keyboard - Black,Technology,Accessories,,
Rush Hierlooms Collection Rich Wood Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
Crate-A-Files,Office Supplies,Storage,,
O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Furniture,Bookcases,Home,Furniture_Appliances
GBC VeloBinder Manual Binding System,Office Supplies,Binders,,
Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,Electronics,Electronics_misc
Avery Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Art,,
GBC ProClick 150 Presentation Binding System,Office Supplies,Binders,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,,
Woodgrain Magazine Files by Perma,Office Supplies,Storage,,
Letter Size Cart,Office Supplies,Storage,,
Insertable Tab Post Binder Dividers,Office Supplies,Binders,,
Belkin QODE FastFit Bluetooth Keyboard,Technology,Accessories,,
Bady BDG101FRU Card Printer,Technology,Machines,Electronics,Electronics_misc
Xerox 1908,Office Supplies,Paper,,
Xerox 1897,Office Supplies,Paper,,
O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,Home,Furniture_Appliances
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Office Supplies,Storage,,
Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Office Supplies,Storage,,
"Xerox Color Copier Paper, 11"" x 17"", Ream",Office Supplies,Paper,,
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,Bookcases,Home,Furniture_Appliances
Avery 520,Office Supplies,Labels,,
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,Bookcases,Home,Furniture_Appliances
Avery Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Art,,
Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Storage,,
"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Office Supplies,Art,,
"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Office Supplies,Art,,
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Art,,
Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,Technology,Phones,,
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Home,Furniture_Appliances
Deluxe Rollaway Locking File with Drawer,Office Supplies,Storage,,
Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Technology,Accessories,,
"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
Hon 4-Shelf Metal Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
Staple envelope,Office Supplies,Envelopes,,
3M Office Air Cleaner,Office Supplies,Appliances,,
Logitech G700s Rechargeable Gaming Mouse,Technology,Accessories,,
Acco D-Ring Binder w/DublLock,Office Supplies,Binders,,
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Home,Furniture_Appliances
O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,Home,Furniture_Appliances
Poly Designer Cover & Back,Office Supplies,Binders,,
Premier Electric Letter Opener,Office Supplies,Supplies,,
"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Office Supplies,Appliances,,
"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,Home,Furniture_Appliances
Sauder Camden County Collection Library,Furniture,Bookcases,Home,Furniture_Appliances
Cardinal Hold-It CD Pocket,Office Supplies,Binders,,
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Office Supplies,Paper,,
SAFCO Boltless Steel Shelving,Office Supplies,Storage,,
"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,Home,Furniture_Appliances
Samsung Galaxy Note 3,Technology,Phones,,
"Decoflex Hanging Personal Folder File, Blue",Office Supplies,Storage,,
"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Office Supplies,Paper,,
Xerox 1912,Office Supplies,Paper,,
Cisco SPA525G2 IP Phone - Wireless,Technology,Phones,,
O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
Avery Hi-Liter Smear-Safe Highlighters,Office Supplies,Art,,
"Fellowes Strictly Business Drawer File, Letter/Legal Size",Office Supplies,Storage,,
Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,Technology,Accessories,,
Avery Hi-Liter Smear-Safe Highlighters,Office Supplies,Art,,
Logitech G602 Wireless Gaming Mouse,Technology,Accessories,,
Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,,
"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
iHome FM Clock Radio with Lightning Dock,Technology,Phones,,
Apple iPhone 5S,Technology,Phones,,
Square Credit Card Reader,Technology,Phones,,
Logitech M510 Wireless Mouse,Technology,Accessories,,
Avery Hi-Liter Smear-Safe Highlighters,Office Supplies,Art,,
Fellowes Officeware Wire Shelving,Office Supplies,Storage,,
Colored Envelopes,Office Supplies,Envelopes,,
Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,Technology,Accessories,,
"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
"Strathmore #10 Envelopes, Ultimate White",Office Supplies,Envelopes,,
Clear Mylar Reinforcing Strips,Office Supplies,Binders,,
"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
"Hon Metal Bookcases, Putty",Furniture,Bookcases,Home,Furniture_Appliances
Vinyl Sectional Post Binders,Office Supplies,Binders,,
GBC Standard Therm-A-Bind Covers,Office Supplies,Binders,,
Bestar Classic Bookcase,Furniture,Bookcases,Home,Furniture_Appliances
Storex Flexible Poly Binders with Double Pockets,Office Supplies,Binders,,
"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper,,
"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,,
Avery Hi-Liter Smear-Safe Highlighters,Office Supplies,Art,,
Avery Hi-Liter Smear-Safe Highlighters,Office Supplies,Art,,
Personal File Boxes with Fold-Down Carry Handle,Office Supplies,Storage,,
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,,
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,Bookcases,Home,Furniture_Appliances
SanDisk Cruzer 32 GB USB Flash Drive,Technology,Accessories,,
Avery Hi-Liter Smear-Safe Highlighters,Office Supplies,Art,,
Barrel Sharpener,Office Supplies,Art,,
Barrel Sharpener,Office Supplies,Art,,
Canon Image Class D660 Copier,Technology,Copiers,,
Advantus Rolling Storage Box,Office Supplies,Storage,,
Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),Office Supplies,Paper,,
Tennsco Single-Tier Lockers,Office Supplies,Storage,,
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,,
Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,,
XtraLife ClearVue Slant-D Ring Binders by Cardinal,Office Supplies,Binders,,
O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
Motorola HK250 Universal Bluetooth Headset,Technology,Phones,,
Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,,
Staples,Office Supplies,Fasteners,,
"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,Home,Furniture_Appliances
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,Bookcases,Home,Furniture_Appliances
Eldon Gobal File Keepers,Office Supplies,Storage,,
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,,
"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Office Supplies,Envelopes,,
Rush Hierlooms Collection Rich Wood Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
"Hon Metal Bookcases, Gray",Furniture,Bookcases,Home,Furniture_Appliances
Panasonic KX-TG9471B,Technology,Phones,,
Presstex Flexible Ring Binders,Office Supplies,Binders,,
Sterilite Officeware Hinged File Box,Office Supplies,Storage,,
"Premier Elliptical Ring Binder, Black",Office Supplies,Binders,,
Cardinal Poly Pocket Divider Pockets for Ring Binders,Office Supplies,Binders,,
Eureka The Boss Cordless Rechargeable Stick Vac,Office Supplies,Appliances,,
O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
Enermax Aurora Lite Keyboard,Technology,Accessories,,
LG Electronics Tone+ HBS-730 Bluetooth Headset,Technology,Phones,,
Fellowes Officeware Wire Shelving,Office Supplies,Storage,,
SanDisk Cruzer 64 GB USB Flash Drive,Technology,Accessories,,
Xblue XB-1670-86 X16 Small Office Telephone - Titanium,Technology,Phones,,
O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
Avery Printable Repositionable Plastic Tabs,Office Supplies,Binders,,
Xerox 1898,Office Supplies,Paper,,
Home/Office Personal File Carts,Office Supplies,Storage,,
Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,,
Staple remover,Office Supplies,Supplies,,
Bestar Classic Bookcase,Furniture,Bookcases,Home,Furniture_Appliances
Sauder Cornerstone Collection Library,Furniture,Bookcases,Home,Furniture_Appliances
Advantus T-Pin Paper Clips,Office Supplies,Fasteners,,
Tennsco 16-Compartment Lockers with Coat Rack,Office Supplies,Storage,,
Barrel Sharpener,Office Supplies,Art,,
Avery 473,Office Supplies,Labels,,
Sauder Inglewood Library Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
Xerox 226,Office Supplies,Paper,,
Bush Somerset Collection Bookcase,Furniture,Bookcases,Home,Furniture_Appliances
"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Office Supplies,Binders,,
"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",Office Supplies,Appliances,,
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,Home,Furniture_Appliances
"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,Fasteners,,
Avery 509,Office Supplies,Labels,,
Cisco SPA301,Technology,Phones,,
Personal Creations Ink Jet Cards and Labels,Office Supplies,Paper,,
"GBC White Gloss Covers, Plain Front",Office Supplies,Binders,,
Xerox 222,Office Supplies,Paper,,
O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,Home,Furniture_Appliances
Avery 473,Office Supplies,Labels,,
OIC Bulk Pack Metal Binder Clips,Office Supplies,Fasteners,,
Storex Dura Pro Binders,Office Supplies,Binders,,
Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,Technology,Phones,,
Barrel Sharpener,Office Supplies,Art,,
Personal Creations Ink Jet Cards and Labels,Office Supplies,Paper,,
Rediform S.O.S. Phone Message Books,Office Supplies,Paper,,
Acme Value Line Scissors,Office Supplies,Supplies,,
"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,,
O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
Martin-Yale Premier Letter Opener,Office Supplies,Supplies,,
GE 30524EE4,Technology,Phones,,
AT&T SB67148 SynJ,Technology,Phones,,
Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,,
Recycled Pressboard Report Cover with Reinforced Top Hinge,Office Supplies,Binders,,
Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones,,
"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,,
i.Sound Portable Power - 8000 mAh,Technology,Phones,,
Xerox 225,Office Supplies,Paper,,
Clear Mylar Reinforcing Strips,Office Supplies,Binders,,
Xerox 1894,Office Supplies,Paper,,
Berol Giant Pencil Sharpener,Office Supplies,Art,,
Memorex Micro Travel Drive 8 GB,Technology,Accessories,,
Fellowes Superior 10 Outlet Split Surge Protector,Office Supplies,Appliances,,
Sharp AL-1530CS Digital Copier,Technology,Copiers,,
AT&T 1070 Corded Phone,Technology,Phones,,
Bestar Classic Bookcase,Furniture,Bookcases,Home,Furniture_Appliances
Acme Stainless Steel Office Snips,Office Supplies,Supplies,,
Mophie Juice Pack Helium for iPhone,Technology,Phones,,
GE 2-Jack Phone Line Splitter,Technology,Phones,,
Acme Value Line Scissors,Office Supplies,Supplies,,
"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,,
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Home,Furniture_Appliances
Insertable Tab Post Binder Dividers,Office Supplies,Binders,,
GBC VeloBinder Manual Binding System,Office Supplies,Binders,,
Xerox 1889,Office Supplies,Paper,,
Angle-D Ring Binders,Office Supplies,Binders,,
Berol Giant Pencil Sharpener,Office Supplies,Art,,
Motorola L804,Technology,Phones,,
Nortel Meridian M3904 Professional Digital phone,Technology,Phones,,
Avery 493,Office Supplies,Labels,,
Xerox 1972,Office Supplies,Paper,,
Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones,,
PureGear Roll-On Screen Protector,Technology,Phones,,
Prestige Round Ring Binders,Office Supplies,Binders,,
"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
"Hon Metal Bookcases, Putty",Furniture,Bookcases,Home,Furniture_Appliances
Recycled Easel Ring Binders,Office Supplies,Binders,,
Grandstream GXP1160 VoIP phone,Technology,Phones,,
O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,Home,Furniture_Appliances
"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Office Supplies,Binders,,
"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases,Home,Furniture_Appliances
Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,Office Supplies,Appliances,,
"Mini 13-1/2 Capacity Data Binder Rack, Pearl",Office Supplies,Storage,,
