Description,Category,Sub_Category,ProductBrand,Description2
WITH Men Black Slim Fit Solid Casual Shirt,Clothes,Clothes,WITH,"Black solid casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
AccessHer Women Gold-Plated & Off-White Oxidised Kundan & Pearl Embellished Maang Tikka,Clothes,Jewelry,AccessHer," Gold-plated and off-white pearl beaded maang tikka, has kundan embellishment detail and pearl beaded droplets  Secured with S-hook closure "
SPYKAR Women White Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,Clothes,Clothes,SPYKAR,"White light wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
ZUSH Plus Size Women Black Regular Fit Mid-Rise Clean Look Jeans,Clothes,Clothes,ZUSH,"Black dark wash five-pocket mid-rise jeans, clean look with heavy fade, has a button and zip closure, waistband with belt loops"
Story@home Mustard Floral 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Home,Decor,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: SuperfineThread count: 210Colour: MustardPattern: Floral
DKNY Unisex Gold & White Printed Large Trolley Bag,Clothes,Bags_Accessories,DKNY,"Gold and white printed large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining , two compression straps with click clasps, one zip compartment on the flap with three zip pocketsWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
Campus Sutra Men Green & Navy Blue Regular Fit Checked Casual Shirt,Clothes,Clothes,Campus Sutra,"Green and navy blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Campus Sutra Men Navy & Grey Melange Standard Regular Fit Colourblocked Casual Shirt,Clothes,Clothes,Campus Sutra,"Navy blue and grey melange colourblocked casual shirt, has a mandarin collar, long sleeves, button placket, and curved hem"
Parx Men Blue Slim Fit Checked Casual Shirt,Clothes,Clothes,Parx,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
AccessHer Women Gold-Plated & Off-White Oxidised Stone & Pearl Embellished Nose Ring,Clothes,Jewelry,AccessHer," Circular-shaped gold-plated, off-white and green stone-studded clip-on nose ring, has pearl beaded chain secured with S-hook closure "
U.S. Polo Assn. Kids Boys Navy Hooded Sweatshirt,Clothes,Clothes,U.S. Polo Assn. Kids,"Navy sweatshirt with applique', has an attached hood with drawstring 
fastening, a full press-button placket with a concealed full zip closure
 on the front, long sleeves with elbow patches, four pockets, and an 
inner fleece lining"
Bvlgari Women Omnia Paraiba Eau De Toilette Perfume 65 ml,Clothes,Bags_Accessories,Bvlgari,"Bvlgari Omnia Paraiba Eau De Toilette captures the myriad scents of floral, fruity and tropical notes. Features: Top notes: passion fruit, bitter orangeHeart notes: Passion flower and Brazilian gardeniaBase notes: etiver and Cocoa."
PARFAIT Plus Size Black Solid Underwired Lightly Padded Everyday Bra P5011,Clothes,Clothes,PARFAIT,Black solid medium-coverage everyday bra with lace detailLightly padded and underwired seamless cupsMultiway straps and back closureBack style: RegularFeature: Side Bone
PARFAIT Plus Size Beige Self Design Underwired Non Padded Minimizer Bra P5272,Clothes,Clothes,PARFAIT,Beige self design full-coverage Minimizer braNon Padded and Underwired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
JEWEL JUNCTION Silver-Toned Geometric Cufflinks,Clothes,Jewelry,JEWEL JUNCTION,A pair of silver-toned geometric solid cufflinksComes in a signature JEWEL JUNCTION case
DKNY Unisex Black Large Trolley Bag,Clothes,Bags_Accessories,DKNY,"Black textured large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, an inner mesh zip compartment, two compression straps with click clasps and one zip compartment on the flap with a zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
DressBerry Off-White Sequinned Top,Clothes,Clothes,DressBerry,"Off-white top, has a round neck, short sleeves, sequinned detail along the bodice, ruffled detail along the curved hem"
Parx Men Blue Slim Fit Checked Casual Shirt,Clothes,Clothes,Parx,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
BuckleUp Women Blue Textured Belt,Clothes,Clothes,BuckleUp,Blue textured beltSecured with a tang closureWarranty: 1 monthWarranty provided by brand/manufacturer
Gini and Jony Boys Black & White Regular Fit Printed Trousers,Clothes,Clothes,Gini and Jony,"Black and white printed mid-rise trousers, hook and bar closure, and 4 pockets"
PARFAIT Plus Size Women Lavender Lace Boy Shorts 2805,Clothes,Clothes,PARFAIT,"Lavender lace low-rise boy shorts, has an inner elasticated waistband with bow detailing, double layered gusset"
AccessHer Women Gold-Plated & White Kundan-Studded Flower-Shaped Nosepin,Clothes,Jewelry,AccessHer," Oxidised gold-plated and white flower-shaped nosepin, has kundan-studded detail  Secured with a clip-on closure "
Parx Men Maroon Slim Fit Printed Casual Shirt,Clothes,Clothes,Parx,"Maroon printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
ColorPlus Men Blue Regular Fit Checked Formal Trousers,Clothes,Clothes,ColorPlus,"Blue checked mid-rise formal trousers, has a button closure, four pockets"
Parx Men Off-White & Blue Slim Fit Printed Casual Shirt,Clothes,Clothes,Parx,"Off-white and blue printed casual shirt, has a spread collar, short sleeves, button placket, curved hem, one patch pocket"
HIGHLANDER Men Grey Slim Fit Self Design Regular Trousers,Clothes,Clothes,HIGHLANDER,"Grey self-design mid-rise trousers, button closure and four pockets"
Parx Men Beige Slim Fit Solid Regular Trousers,Clothes,Clothes,Parx,"Beige solid mid-rise regular trousers, has a button closure, four pockets"
Tokyo Talkies Women Green Solid Top,Clothes,Clothes,Tokyo Talkies,"Green solid regular top,has v-neck,bell sleeves"
BuckleUp Women Tan Textured Belt,Clothes,Clothes,BuckleUp,Tan textured beltReversible: NoStretchable: NoSecured with a tangWarranty: 1 monthWarranty provided by brand/manufacturer
SPYKAR Women Black Alexa Super Skinny Fit High-Rise Clean Look Stretchable Jeans,Clothes,Clothes,SPYKAR,"Black dark wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
MIAH Decor Set Of 2 Ceramic Bowls,Home,Decor,MIAH Decor,Set Of 2 Ceramic Bowls Pattern: PrintedFinish: GlossyMaterial: Ceramic
AccessHer Women Gold-Plated Meenakari Bangle,Clothes,Jewelry,AccessHer,"Gold-plated meenakariÂ bangles, has a textured detailing"
Campus Sutra Men Blue & White Ombre-Dyed Henley Neck T-shirt,Clothes,Clothes,Campus Sutra,"Blue and white ombre-dyed T-shirt, has a Henley neck, and short sleeves"
Allen Solly Woman Women White Printed Top,Clothes,Clothes,Allen Solly Woman,"White printed woven regular  top, has a round neck, and long sleeves"
Palm Tree Girls Pink Solid Bomber Jacket,Clothes,Clothes,Palm Tree,"Pink solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining"
PARFAIT Plus Size Purple  Pink Lace Underwired Lightly Padded T-shirt Bra P5581,Clothes,Clothes,PARFAIT,Purple and pink lace medium-coverage T-shirt braLightly Padded and Underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
Arrow Taupe Tapered Fit Formal Trousers,Clothes,Clothes,Arrow,"A pair of taupe mid-rise formal trousers, has a zip fly with a button closure and a concealed hook-and-bar closure, an adjustableÂ autoflexÂ waistband with belt loops, four pockets, and adjustable hemsOur stylist has paired these trousers with a beltThis pair of trousers does not come with a belt "
JEWEL JUNCTION Silver-Toned Geometric Cufflinks,Clothes,Jewelry,JEWEL JUNCTION,A pair of silver-toned and black geometric printed cufflinksComes in a signature JEWEL JUNCTION case
Difference of Opinion Men Mustard Yellow Solid Round Neck T-shirt with Printed Detailing,Clothes,Clothes,Difference of Opinion,"Mustard yellow solid T-shirt, has a round neck, and long sleeves"
AccessHer Women Gold-Toned & Pink Gold-Plated AD-Studded Maang Tikka,Clothes,Jewelry,AccessHer,"Gold-toned and pink gold-plated maang tikka with arificial stoned and beads studded, gold-platedSecured with a fish-hook ear wire"
HIGHLANDER Men Grey & Black Striped Round Neck T-shirt,Clothes,Clothes,HIGHLANDER,"Grey and Black striped T-shirt, has round neck, short sleeves"
Lady Lyka Women Pack of 2 Beginners Bras TEENAGER-RED-WHT,Clothes,Clothes,Lady Lyka,Red and white solid medium-coverage beginners brasNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
DKNY Unisex Silver Medium Trolley Bag,Clothes,Bags_Accessories,DKNY,"Silver textured medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, an inner mesh zip compartment, two compression straps with click clasps and one zip compartment on the flap with a zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
Raymond Men Green Printed Polo Collar T-shirt,Clothes,Clothes,Raymond,"Green printed T-shirt, has a polo collar, short sleeves"
AccessHer Women Set of 2 Gold-Plated Bangles,Clothes,Jewelry,AccessHer,"Set of two gold-plated bangles, each has a textured detailing"
Aditi Wasan Unisex Black Solid Leather Card Holder,Clothes,Bags_Accessories,Aditi Wasan,"Black solid card holder1 main compartment Multiple card holders, 2 slip pocketsDisclaimer: This is a genuine leather product that has been designed with good care which makes every piece unique and gives variety in the appearance. The genuine look might vary"
Aditi Wasan Unisex Tan Brown Solid Leather Card Holder,,,Aditi Wasan,"Tan brown solid card holder6 card holders, 2 slip pocketsDisclaimer: This is a genuine leather product that has been designed with good care which makes every piece unique and gives variety in the appearance. The genuine look might vary"
AccessHer Gold-Toned & Yellow Classic Drop Earrings,Clothes,Jewelry,AccessHer,Gold-Toned and Yellow Classic Earrings and gold-plated Secured with a post and back
MANGO Women Black & Yellow Floral Print Layered Top,Clothes,Clothes,MANGO,"Black and yellow printed woven layered top, has a tie-up neck, sleeveless, and button closure"
Park Avenue Women Maroon Self Design Top,Clothes,Clothes,Park Avenue,"Maroon self-design regular top, has a round neck, long sleeves, lace insert detail"
ahilya Maroon Gold-Plated Sterling Silver Hoop Earrings,Clothes,Jewelry,ahilya,"A pair of maroon gold-plated sterling silver hoop earrings, has floral detail with multiple multifaceted stone embellishments, and a jhumki dangler with a clusterÂ of beadsSecured with a stylised insert closure"
Adorenite Navy Blue Robe with Embroidered Detail RO004,,,ADORENITE,"Navy blue solid robe, has an open front, long sleeves, a tie-up detail along the waist with embriodered detail"
Lady Lyka Women Beige and White Pack of 2 Beginners Bras ATHLETE-SKN-WHT-Multi,Clothes,Clothes,Lady Lyka,Pack of 2 Beige and white solid medium-coverage beginners braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
Story@home Blue & Pink Floral 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Home,Decor,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: SuperfineThread count: 210Colour: Blue and PinkPattern: Floral
Urban Dog Men Charcoal Black Printed Regular Fit Sports Shorts,Clothes,Clothes,Urban Dog,"Charcoal balack printed mid-rise sports shorts, has two pockets, a drawstring closure"
ID Men Beige Solid Leather Mid-Top Flat Boots,Clothes,Shoes,ID,"A pair of round-toe beige flat boots, has mid-top styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Carrera Men Tan Brown Flat Boots,Clothes,Shoes,Carrera,"A pair of round-toe tan brown flat boots, has regular styling, lace-up detailSynthetic Leather upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
Story@home Olive Green & Grey Geometric 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Home,Decor,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Olive Green and GreyPattern: Geometric
Campus Sutra Men Red & Black Standard Regular Fit Checked Casual Shirt,Clothes,Clothes,Campus Sutra,"Red and black checked casual shirt, has a spread collar, short sleeves, button placket, and curved hem"
Adorenite Women Coral Red Solid Robe With Embroidered Detail,,,ADORENITE,"Coral Red solid robe, has an open front, long sleeves, a tie-up detail along the waist with embriodered detail"
Story@home Green & White Floral 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Home,Decor,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Green and WhitePattern: Floral
DKNY Unisex Maroon Solid Leather Backpack with Pouch,Clothes,Bags_Accessories,DKNY,Maroon backpackPadded haul loop3 and more main compartments with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: Yes       Comes with a pouchWarranty: 5 yearsWarranty provided by brand/manufacturer
Parx Men Khaki Tapered Fit Solid Regular Trousers,Clothes,Clothes,Parx,"Khaki solid mid-rise regular trousers, has a button closure, four pockets"
Soie Green Self Design Underwired Non Padded Everyday Bra FB-610,Clothes,Clothes,Soie,Green full-coverage Everyday braÂ Non Padded andÂ FlexibleÂ Underwired seamless three layered cupsCushioned front straps with laceÂ and back closureSandwiched brushed layer for no show apex
Raymond Men Maroon Striped Polo Collar T-shirt,Clothes,Clothes,Raymond,"Maroon striped T-shirt, has polo collar, short sleeves"
Adorenite Women Hot Pink Satin Robe with BRIDE Embroidery  Detail,,,ADORENITE,"Pink solid robe, has an open front, long sleeves, a tie-up detail along the waist with embriodered detail"
